sN,State,Lat,Long,Depth,sand_content,silt_content,clay_content,pH,carbon_organic,nitrogen_total,phosphorous_extractable,calcium_extractable,potassium_extractable
OD331,Ondo,7.58284,5.89116,1,70.784,15.56,13.656,5.4,1.197,0.252,31.93,8.8394336,0.1296304
OD332,Ondo,7.59872,5.77316,1,73.072,12.2,14.728,6.2,0.798,0.2,28.3,10.8926432,0.0810483
OD333,Ondo,7.67357,5.93344,1,72.712,14.776,12.512,5.9,0.478,0.213,29.15,7.6512336,0.1018692
OD334,Ondo,7.64744,5.73155,1,82.856,2.2,14.944,6,2.516,0.289,28.66,8.4116816,0.0463468
OD335,Ondo,7.66982,5.79364,1,76.496,4.488,19.016,6.8,0.758,0.263,31.27,7.4706272,0.1851528
Oy1,Oyo,7.78116,3.992715,1,79.58,9.5,10.92,6.76,0.32,0.03,18.6,2.52,0.18
Oy2,Oyo,7.692339,3.953348,1,79.83,8.29,11.88,6.84,0.33,0.04,19.05,2.24,0.18
Oy3,Oyo,7.670497,3.913998,1,80.43,9,10.57,6.73,0.75,0.07,25.73,3.35,0.3
Oy4,Oyo,7.643673,3.943296,1,70.37,14.45,15.18,6.62,0.85,0.08,30.07,4.05,0.34
Oy5,Oyo,7.737977,3.832933,1,83.22,7,9.78,6.93,0.2,0.02,17.77,2.09,0.18
Oy6,Oyo,7.749242,3.861802,1,77.78,10.34,11.88,6.78,0.57,0.05,23.25,3.23,0.24
Oy7,Oyo,7.801468,3.833494,1,82.6,9.08,8.32,6.66,0.43,0.04,20.84,2.86,0.19
Oy8,Oyo,7.612013,3.901519,1,74.22,12.86,12.92,6.62,1.02,0.1,34.12,4.38,0.46
Oy9,Oyo,7.618454,3.912331,1,78.97,9.32,11.71,6.8,0.31,0.04,19.27,2.65,0.16
Oy10,Oyo,7.632466,3.936724,1,72.52,12.31,15.18,6.7,0.72,0.07,27.96,3.51,0.27
Oy11,Oyo,7.625706,4.007287,1,74.68,14.69,10.62,7.19,0.88,0.09,21.89,3.03,0.27
Oy12,Oyo,7.565314,3.989783,1,74.01,9.99,15.99,6.78,0.51,0.05,23.02,2.98,0.23
Oy13,Oyo,7.557981,3.903226,1,75.22,12.88,11.9,6.51,0.72,0.06,23.86,3.77,0.36
Oy14,Oyo,7.947664,3.96026,1,77.22,11.26,11.52,6.75,0.97,0.09,28.72,3.99,0.42
Oy15,Oyo,8.02428,3.979312,1,84.09,7.68,8.23,6.69,0.3,0.03,18.85,2.23,0.19
Oy16,Oyo,8.064855,3.927262,1,83.35,7.35,9.3,6.79,0.43,0.05,21.09,2.63,0.23
Oy17,Oyo,8.072932,3.826665,1,75.2,16.28,8.52,6.93,1.26,0.12,46.04,6.51,0.81
Oy18,Oyo,8.148368,3.905806,1,81.04,10.09,8.87,6.66,0.53,0.05,19.56,3.03,0.21
Oy19,Oyo,8.222237,3.81961,1,76.11,12.96,10.94,6.59,0.81,0.08,30.26,4.03,0.35
Oy20,Oyo,8.233613,3.829718,1,82.93,7.7,9.37,6.79,0.29,0.03,19.33,2.14,0.16
Oy21,Oyo,8.248593,3.942054,1,81.54,8.32,10.14,6.73,0.53,0.05,23.3,2.95,0.34
Oy22,Oyo,8.356686,4.013865,1,72.97,14.95,12.08,6.43,1.31,0.13,31.83,5.05,0.53
Oy23,Oyo,8.420315,3.977674,1,79.31,9.63,11.06,6.78,0.82,0.08,25.77,3.35,0.35
Oy24,Oyo,8.559642,3.36866,1,71.3,14.37,14.33,6.49,0.72,0.08,26.03,3.45,0.45
Oy25,Oyo,8.559002,3.37001,1,70.54,14.98,14.48,6.46,1,0.1,30.17,4.29,0.49
Oy26,Oyo,8.510566,3.371815,1,81.81,9.56,8.63,6.66,0.74,0.07,24.45,3.36,0.32
Oy27,Oyo,8.511254,3.374897,1,82.03,9.41,8.56,6.58,0.49,0.05,20.85,3.14,0.29
Oy28,Oyo,8.462279,3.320203,1,76.68,14.18,9.14,6.31,0.87,0.09,20.22,3.94,0.36
Oy29,Oyo,8.401734,3.383757,1,79.46,11.38,9.16,6.63,0.77,0.07,29.52,3.93,0.34
Oy30,Oyo,8.462616,3.321646,1,79.23,12.72,8.05,6.56,0.56,0.06,20.25,2.94,0.26
Oy31,Oyo,8.461311,3.319,1,79.39,9.85,10.76,6.7,0.53,0.05,24.55,3.13,0.25
Oy32,Oyo,8.393071,3.349684,1,78.62,12.56,8.82,6.6,1.03,0.1,29.68,4.63,0.51
Oy33,Oyo,8.394665,3.348834,1,80.53,10.2,9.27,6.69,0.83,0.08,25.61,3.74,0.32
Oy34,Oyo,8.441961,3.380701,1,82.45,7.82,9.73,6.78,0.33,0.04,19.98,2.43,0.21
Oy35,Oyo,8.43885,3.38095,1,76.04,11.28,12.68,6.6,0.81,0.08,29.56,3.78,0.44
Oy36,Oyo,8.490279,3.398343,1,83.04,8.04,8.92,6.8,0.29,0.03,18.77,2.24,0.19
Oy37,Oyo,8.540782,3.325986,1,77.1,11.86,11.04,6.46,0.87,0.08,24.13,3.74,0.46
Oy38,Oyo,8.542908,3.327111,1,76.43,13.16,10.41,6.39,0.98,0.09,25.72,4.2,0.5
Oy39,Oyo,8.506072,3.444003,1,72.66,15.73,11.61,6.39,1.22,0.12,33.04,5.09,0.55
Oy40,Oyo,8.509211,3.442077,1,77.39,12.8,9.81,6.41,0.9,0.09,25.51,4.01,0.43
Oy41,Oyo,8.366196,3.384252,1,76.58,10.42,13,6.72,0.65,0.06,28.22,3.59,0.31
Oy42,Oyo,8.499341,3.52191,1,80.03,11.2,8.77,6.52,0.94,0.1,25.38,3.92,0.4
Oy43,Oyo,8.553077,3.466922,1,77.48,9.93,12.59,6.63,0.41,0.04,21.81,2.69,0.22
Oy44,Oyo,7.437456,4.057902,1,76.46,12.99,10.54,6.6,0.96,0.09,31.79,4.22,0.43
Oy45,Oyo,7.409406,4.104118,1,77.7,10.62,11.69,6.71,0.91,0.09,27.79,3.86,0.43
Oy46,Oyo,7.412018,4.070128,1,81.21,7.91,10.88,6.83,0.38,0.03,19.17,2.52,0.2
Oy47,Oyo,7.396201,4.064657,1,71.89,12.52,15.59,6.71,0.87,0.08,31.81,3.87,0.44
Oy48,Oyo,7.380886,3.97125,1,79.5,10.51,9.99,6.82,1.04,0.1,28.23,4.38,0.47
Oy49,Oyo,7.451594,3.896768,1,78.95,12.39,8.67,6.6,0.63,0.06,22.68,3.58,0.27
Oy50,Oyo,7.455775,3.896807,1,73.57,14.46,11.97,6.43,1.23,0.13,31.55,4.86,0.54
Oy51,Oyo,7.455847,3.892825,1,80.08,9.53,10.38,6.68,0.84,0.09,27.13,3.54,0.36
Oy52,Oyo,7.47342,3.903149,1,79.71,12.04,8.25,6.63,0.64,0.06,22.84,3.78,0.27
Oy53,Oyo,7.339939,3.758267,1,72.08,13.58,14.34,6.62,1,0.09,33.75,4.42,0.44
Oy54,Oyo,7.365228,3.750387,1,75.02,14.24,10.75,6.51,1.06,0.1,31.56,4.99,0.5
Oy55,Oyo,7.396102,3.758277,1,61.39,16.75,21.86,6.44,0.92,0.09,29.51,4.11,0.37
Oy56,Oyo,7.42623,3.705566,1,80.34,7.42,12.24,6.79,0.35,0.03,20.51,2.43,0.22
Oy57,Oyo,7.459196,3.671816,1,76.24,13.1,10.67,6.6,1.03,0.1,31.78,4.47,0.49
Oy58,Oyo,7.516017,3.782452,1,76.31,9.8,13.89,6.81,0.64,0.07,21.57,2.98,0.25
Oy59,Oyo,7.539126,3.732018,1,79.82,10.8,9.39,6.66,0.71,0.06,25.15,3.52,0.33
Oy60,Oyo,7.523691,3.75892,1,76.85,12.22,10.93,6.61,0.84,0.08,29.37,4.06,0.31
Oy61,Oyo,7.48269,3.746076,1,78.41,12.24,9.35,6.17,0.74,0.08,21.58,3.69,0.24
Oy62,Oyo,7.511321,3.714681,1,78.03,12.17,9.8,6.61,1.01,0.1,29.54,4.33,0.39
Oy63,Oyo,7.520153,3.627552,1,82.12,8.54,9.34,6.69,0.64,0.06,23.45,3.07,0.28
Oy64,Oyo,7.387767,3.857228,1,74.63,13.77,11.6,6.67,0.91,0.09,30.69,4.15,0.36
Oy65,Oyo,7.389805,3.859043,1,75.72,10.3,13.98,6.72,0.52,0.05,22.7,2.93,0.22
Oy66,Oyo,7.409634,3.854201,1,75.5,12.12,12.37,6.67,0.98,0.1,32.05,4.12,0.43
Oy67,Oyo,7.411892,3.858419,1,69.9,14.78,15.31,6.59,0.82,0.08,28.61,3.78,0.32
Oy68,Oyo,7.49631,3.131764,1,83.51,7.72,8.77,6.83,0.23,0.02,18.43,2.22,0.16
Oy69,Oyo,7.517468,3.236865,1,82.37,9.09,8.55,6.6,0.39,0.04,18.86,2.55,0.22
Oy70,Oyo,7.415174,3.195297,1,81.86,9.12,9.02,6.71,0.5,0.05,21.38,2.93,0.24
Oy71,Oyo,7.434747,3.226789,1,83.26,8.3,8.44,6.73,0.33,0.03,19.25,2.11,0.21
Oy72,Oyo,7.470761,3.309712,1,83.27,7.87,8.87,6.89,0.23,0.02,18.28,2.08,0.17
Oy73,Oyo,7.343868,3.316194,1,79.93,9.21,10.86,6.7,0.54,0.05,22.84,2.81,0.27
Oy74,Oyo,7.389139,3.215119,1,78.38,10.8,10.82,6.69,0.9,0.08,26.41,3.87,0.4
Oy75,Oyo,7.382112,3.201099,1,77.04,12.82,10.14,6.56,1.06,0.1,32.26,4.73,0.55
Oy76,Oyo,7.39553,3.230871,1,79.87,10.63,9.5,6.62,0.88,0.08,23.78,3.69,0.45
Oy77,Oyo,7.660433,3.375538,1,82.67,7.13,10.2,6.82,0.38,0.04,20.36,2.41,0.22
Oy78,Oyo,7.702107,3.467803,1,81.4,9.04,9.56,6.85,0.42,0.04,19.91,2.69,0.22
Oy79,Oyo,7.669739,3.416515,1,81.24,8.36,10.4,6.8,0.38,0.04,20.37,2.61,0.22
Oy80,Oyo,7.716468,3.506396,1,78.06,10.21,11.73,6.7,1,0.09,28.89,3.88,0.39
Oy81,Oyo,7.741515,3.525807,1,75.98,13.11,10.9,6.65,0.97,0.1,33.53,4.54,0.48
Oy82,Oyo,7.488149,3.496463,1,74.71,10.47,14.83,6.65,0.59,0.06,27.33,3.27,0.25
Oy83,Oyo,7.484792,3.433718,1,77.54,12.62,9.84,6.25,1.01,0.1,32.59,3.8,0.51
Oy84,Oyo,7.501469,3.469719,1,80.68,9.59,9.73,6.81,0.44,0.04,19.65,2.85,0.19
Oy85,Oyo,7.436687,3.494315,1,79.06,11.11,9.83,6.72,0.75,0.07,24.7,3.7,0.28
Oy86,Oyo,7.431655,3.479537,1,76.19,16.17,7.63,6.47,1.18,0.12,25.29,5.75,0.38
Oy87,Oyo,7.463046,3.467944,1,84.5,6.97,8.53,6.92,0.16,0.02,16.88,1.96,0.14
Oy88,Oyo,7.577154,3.235383,1,80.37,10.91,8.72,6.53,0.72,0.07,21.52,3.64,0.35
Oy89,Oyo,7.595752,3.303382,1,83.1,7.51,9.39,6.88,0.2,0.02,17.84,2.15,0.16
Oy90,Oyo,7.672099,3.29935,1,80.72,9.49,9.79,6.8,0.41,0.04,19.84,2.74,0.21
Oy91,Oyo,7.694511,3.187822,1,81.54,8.73,9.74,6.69,0.41,0.04,20.12,2.59,0.21
Oy92,Oyo,7.764167,3.206129,1,73.77,12.89,13.34,6.67,0.87,0.08,28.71,4.06,0.38
Oy93,Oyo,7.804145,3.217463,1,78.68,11.14,10.19,6.81,0.91,0.09,28.06,4.04,0.39
Oy94,Oyo,7.649206,3.121604,1,78.37,10.49,11.14,6.78,0.74,0.07,24.36,3.54,0.28
Oy95,Oyo,7.619111,3.122055,1,78.87,10.39,10.74,6.74,0.72,0.07,23.52,3.17,0.33
Oy96,Oyo,7.575264,3.121015,1,81.82,7.96,10.21,6.94,0.6,0.06,22.11,2.15,0.25
Oy97,Oyo,7.525841,3.11665,1,79.35,10.13,10.52,6.59,0.6,0.06,21.52,3.17,0.32
Oy98,Oyo,9.144932,3.942509,1,76.33,11.6,12.07,6.71,0.67,0.06,23.36,3.53,0.24
Oy99,Oyo,9.056677,3.934075,1,81.22,8.22,10.56,6.79,0.34,0.03,19.34,2.67,0.2
Oy100,Oyo,9.035724,4.007175,1,83.31,7.37,9.32,6.84,0.27,0.03,18.94,2.22,0.18
Oy101,Oyo,9.058458,3.838989,1,71.67,14.11,14.22,6.6,0.91,0.08,30.05,4.19,0.41
Oy102,Oyo,8.990765,3.816665,1,76.03,9.64,14.34,6.82,0.26,0.03,18.91,2.58,0.16
Oy103,Oyo,9.030096,3.726043,1,78.95,9.99,11.05,6.76,0.64,0.06,23.29,3.43,0.27
Oy104,Oyo,9.104382,3.814773,1,77.64,10.3,12.06,6.8,0.5,0.05,21.13,3.11,0.22
Oy105,Oyo,8.982387,3.944416,1,80.34,8.39,11.27,6.89,0.21,0.02,17.49,2.32,0.21
Oy106,Oyo,9.10486,3.831004,1,78.48,10.33,11.19,6.69,0.7,0.07,24.65,3.54,0.26
Oy107,Oyo,9.043762,3.873718,1,74.84,9.75,15.42,6.84,0.28,0.03,18.45,2.67,0.16
Oy108,Oyo,9.009432,3.902386,1,78.92,10.91,10.17,6.53,1.33,0.14,41.95,4.72,0.52
Oy109,Oyo,8.973763,3.892934,1,77.71,10.96,11.32,6.74,0.61,0.06,22.72,3.39,0.22
Oy110,Oyo,8.946992,3.882262,1,76.2,8.56,15.24,6.83,0.27,0.03,18.78,2.45,0.19
Oy111,Oyo,7.378039,3.837635,1,79.03,11.31,9.66,6.69,0.71,0.07,25.24,3.55,0.28
Oy112,Oyo,7.390376,3.841098,1,80.71,9.7,9.59,6.67,0.48,0.05,20.19,2.75,0.23
Oy113,Oyo,7.384256,3.868016,1,73.83,13.42,12.74,6.52,0.96,0.09,30.19,4.12,0.46
Oy114,Oyo,7.372452,3.844421,1,79.48,11.39,9.13,6.55,0.74,0.07,26.65,3.73,0.37
Oy115,Oyo,8.029358,3.481681,1,77.37,12.76,9.87,6.63,0.85,0.09,23.16,3.57,0.35
Oy116,Oyo,8.033647,3.603413,1,76.67,9.85,13.48,6.68,0.65,0.06,27.23,3.15,0.27
Oy117,Oyo,8.030498,3.602493,1,78.78,8.84,12.38,6.83,0.43,0.04,20.3,2.68,0.21
Oy118,Oyo,8.089602,3.638735,1,75.64,10.24,14.11,6.81,0.5,0.05,20.53,2.84,0.19
Oy119,Oyo,8.146408,3.662221,1,82.39,8.42,9.19,6.82,0.19,0.02,18.25,2.19,0.15
Oy120,Oyo,8.145688,3.664747,1,78.03,11.7,10.27,6.6,0.82,0.08,28.56,3.88,0.39
Oy121,Oyo,7.79857,3.42534,1,80.7,10.31,8.98,6.64,0.59,0.06,22.88,3.26,0.31
Oy122,Oyo,7.916927,3.513903,1,80.99,9.58,9.43,6.73,0.46,0.04,21.34,2.87,0.23
Oy123,Oyo,8.067126,3.525842,1,82.2,7.67,10.13,6.81,0.25,0.03,18.64,2.37,0.17
Oy124,Oyo,8.066863,3.527896,1,80.13,8.58,11.29,6.8,0.43,0.05,20.98,2.62,0.22
Oy125,Oyo,8.002126,3.528921,1,77.32,9.76,12.92,6.79,0.78,0.07,23.95,3.27,0.31
Oy126,Oyo,7.999894,3.527898,1,78.32,10.75,10.93,6.67,0.93,0.09,30.59,3.98,0.36
Oy127,Oyo,7.933639,3.662238,1,83.58,7.95,8.47,6.78,0.25,0.03,18.23,2.3,0.16
Oy128,Oyo,7.890783,3.638162,1,82.1,8.26,9.64,6.86,0.21,0.02,18.11,2.25,0.15
Oy129,Oyo,7.857508,3.681718,1,79.99,9.91,10.1,6.71,0.75,0.08,27.52,3.4,0.34
Oy130,Oyo,8.257578,3.415875,1,81.76,8.06,10.18,6.85,0.29,0.03,18.74,2.35,0.19
Oy131,Oyo,8.258845,3.41271,1,81.83,8.97,9.19,6.78,0.66,0.06,22.78,3.09,0.28
Oy132,Oyo,8.214312,3.285652,1,78.42,12.82,8.75,6.66,1,0.1,30.91,4.61,0.5
Oy133,Oyo,8.21425,3.288875,1,74.39,14.25,11.36,6.56,1.03,0.1,34.2,5.17,0.58
Oy134,Oyo,8.219918,3.194688,1,75.36,14.18,10.46,6.37,1.1,0.1,28.47,4.47,0.5
Oy135,Oyo,8.210061,3.202559,1,80.33,10.25,9.42,6.53,0.55,0.05,20.65,3.01,0.26
Oy136,Oyo,8.287227,3.41262,1,80.8,9.15,10.05,6.76,0.42,0.04,21.71,2.79,0.24
Oy137,Oyo,8.289092,3.413652,1,80.29,9.98,9.73,6.79,0.6,0.06,21.65,3.14,0.24
Oy138,Oyo,8.221662,3.455164,1,77.01,10.27,12.73,6.76,0.74,0.07,25.52,3.38,0.27
Oy139,Oyo,8.189943,3.478305,1,71.64,14.93,13.42,6.47,0.85,0.09,26.07,3.47,0.41
Oy140,Oyo,8.115819,3.541391,1,81.86,8.42,9.72,6.77,0.39,0.04,20.57,2.59,0.21
Oy141,Oyo,8.115955,3.545613,1,80.23,10.06,9.71,6.68,0.92,0.09,27.26,3.88,0.41
Oy142,Oyo,8.113005,3.519115,1,78.92,10.72,10.36,6.72,0.8,0.07,25.46,3.73,0.31
Oy143,Oyo,8.11017,3.515677,1,79.37,9.3,11.34,6.78,0.5,0.05,22.14,3.08,0.26
Oy144,Oyo,8.135632,3.524627,1,77.19,12.97,9.85,6.59,0.91,0.09,33.17,4.22,0.41
Oy145,Oyo,7.954072,2.967193,1,81.6,10.01,8.39,6.53,0.69,0.06,24.46,3.42,0.36
Oy146,Oyo,8.049974,3.079668,1,81.01,10.02,8.98,6.68,0.49,0.05,20.92,3.11,0.24
Oy147,Oyo,7.955151,2.967168,1,78.31,12.53,9.16,6.49,0.87,0.08,25.21,4.04,0.42
Oy148,Oyo,8.044439,3.060063,1,71.12,16.48,12.4,6.41,0.74,0.08,24.23,3.21,0.36
Oy149,Oyo,8.040338,3.059897,1,76.61,13.83,9.56,6.39,1.03,0.1,28.92,4.53,0.51
Oy150,Oyo,7.96524,3.025182,1,83.16,7.27,9.57,6.71,0.47,0.04,20.43,2.73,0.22
Oy151,Oyo,7.966566,3.026283,1,81.33,8.5,10.17,6.78,0.48,0.05,21.54,3.03,0.25
Oy152,Oyo,7.948808,3.03194,1,77.12,12.25,10.63,6.63,1.1,0.1,32.73,4.6,0.53
Oy153,Oyo,7.949653,3.030337,1,81.06,10.12,8.81,6.75,0.63,0.06,22.75,3.32,0.24
Oy154,Oyo,7.885173,3.14968,1,80.79,7.88,11.33,6.73,0.53,0.05,22.19,2.85,0.29
Oy155,Oyo,7.891585,3.152978,1,81.84,8.9,9.26,6.73,0.4,0.04,20.32,2.72,0.2
Oy156,Oyo,7.826817,3.213201,1,71.57,15.6,12.82,6.53,0.97,0.09,30.69,4.55,0.44
Oy157,Oyo,7.824374,3.212829,1,79.04,11.41,9.55,6.55,0.74,0.07,19.42,4.06,0.35
Oy158,Oyo,7.9525,3.258522,1,81.13,8.62,10.25,6.75,0.65,0.06,22.96,3.08,0.27
Oy159,Oyo,7.950295,3.260741,1,81.72,8.7,9.58,6.71,0.52,0.05,22.2,2.87,0.26
Oy160,Oyo,8.081389,3.310483,1,81.72,7.69,10.59,6.75,0.39,0.04,20.47,2.53,0.21
Oy161,Oyo,8.082853,3.315034,1,78.92,10.25,10.84,6.73,0.74,0.07,24.63,3.44,0.29
Oy162,Oyo,8.120781,3.313407,1,80.42,10.11,9.47,6.94,0.49,0.05,21.18,2.62,0.25
Oy163,Oyo,8.117823,3.313247,1,77.28,11.28,11.44,6.71,0.77,0.07,26.23,3.67,0.32
Oy164,Oyo,7.99904,3.376229,1,74.88,14.92,10.2,6.4,0.85,0.08,25.38,3.79,0.39
Oy165,Oyo,8.00735,3.398388,1,80.83,10.1,9.07,6.58,0.56,0.05,20.92,3.18,0.29
Oy166,Oyo,7.934142,3.431697,1,78.14,11.5,10.36,6.73,0.76,0.07,27.46,3.63,0.31
Oy167,Oyo,8.040415,3.442456,1,70.47,15.95,13.58,6.44,0.72,0.08,26.09,3.31,0.43
Oy168,Oyo,8.06789,3.346698,1,75.46,16.48,8.06,6.38,1.31,0.13,32.59,5.17,0.73
Oy169,Oyo,8.156277,3.393058,1,82.74,8.36,8.9,6.74,0.48,0.05,22.71,2.81,0.27
Oy170,Oyo,7.485793,4.042377,1,75.49,11.61,12.91,6.75,1.05,0.09,31.97,4.11,0.49
Oy171,Oyo,7.461332,3.983087,1,69.73,15.96,14.31,6.44,0.87,0.09,28.11,4.45,0.43
Oy172,Oyo,7.571624,4.079016,1,76.75,12.17,11.08,6.76,1.04,0.1,31.42,4.37,0.51
Oy173,Oyo,7.479436,4.058366,1,76.28,11.93,11.79,6.67,0.93,0.09,29.72,3.93,0.4
Oy174,Oyo,7.516284,4.070038,1,71.39,14.98,13.63,6.52,1.14,0.1,35.09,4.95,0.51
Oy175,Oyo,7.527751,4.098097,1,74.47,14.4,11.13,6.57,0.99,0.09,29.09,4.64,0.47
Oy176,Oyo,7.467645,3.990041,1,75.21,12.11,12.68,6.75,0.78,0.07,29.15,3.8,0.33
Oy177,Oyo,8.174829,4.202095,1,83.66,7.86,8.47,6.76,0.35,0.04,20.76,2.61,0.19
Oy178,Oyo,8.181044,4.255158,1,80.56,10.79,8.65,6.64,0.66,0.06,24.1,3.47,0.29
Oy179,Oyo,8.177855,4.243702,1,77.2,12.15,10.65,6.7,0.96,0.09,33.37,4.1,0.49
