sN,State,Lat,Long,Depth,sand_content,silt_content,clay_content,pH,carbon_organic,nitrogen_total,phosphorous_extractable,calcium_extractable,potassium_extractable
Oy180,Oyo,8.16725,4.282346,1,83.55,8.49,7.96,6.74,0.41,0.04,20.97,2.75,0.2
Oy181,Oyo,8.166041,4.287472,1,82.15,8.84,9.01,6.72,0.42,0.04,20.35,2.68,0.23
Oy182,Oyo,8.199807,4.27868,1,81.5,8.49,10.01,6.83,0.63,0.07,23.88,3.12,0.35
Oy183,Oyo,8.197027,4.296963,1,78.75,11.89,9.36,6.62,0.71,0.08,21.54,3.95,0.24
Oy184,Oyo,8.232127,4.297274,1,80.66,8.12,11.23,6.78,0.41,0.04,21.5,2.63,0.25
Oy185,Oyo,8.039803,4.2017,1,80.89,7.58,11.53,6.85,0.36,0.03,19.72,2.42,0.23
Oy186,Oyo,8.017378,4.182385,1,79.75,10.13,10.12,6.67,0.66,0.06,22.67,3.22,0.29
Oy187,Oyo,7.995252,4.166115,1,79,10.79,10.21,6.7,0.69,0.06,24.27,3.53,0.3
Oy188,Oyo,7.985694,4.139094,1,79.28,8.52,12.2,6.79,0.4,0.04,19.94,2.85,0.2
Oy189,Oyo,7.942325,4.131764,1,72.81,13.26,13.93,6.65,0.83,0.08,31.28,4.09,0.42
Oy190,Oyo,7.913337,4.108016,1,76.93,12.21,10.87,6.6,0.87,0.08,26.6,3.77,0.35
Oy191,Oyo,7.928248,4.144663,1,83.35,7.42,9.22,6.7,0.39,0.04,15.3,1.78,0.17
Oy192,Oyo,7.906199,4.164494,1,80.07,10.02,9.92,6.79,0.46,0.04,19.45,3,0.2
Oy193,Oyo,7.875885,4.174271,1,75.84,14.58,9.57,6.28,0.82,0.08,21.89,3.46,0.38
Oy194,Oyo,7.977402,4.18011,1,83.22,7.5,9.28,6.95,0.15,0.02,16.59,1.95,0.15
Oy195,Oyo,7.977483,4.246691,1,82.15,7.95,9.9,6.84,0.2,0.02,17.57,2.16,0.16
Oy196,Oyo,7.99963,4.220972,1,77.96,8.91,13.14,6.8,0.44,0.04,20.35,2.62,0.2
Oy197,Oyo,7.97316,4.155771,1,79.65,9.81,10.54,6.72,0.68,0.06,25.69,3.39,0.27
Oy198,Oyo,7.983989,4.173608,1,82.15,7.02,10.84,6.88,0.21,0.02,18.25,2.08,0.17
Oy199,Oyo,8.117731,4.25061,1,66.68,16.68,16.64,6.48,0.96,0.1,31.09,4.55,0.43
Oy200,Oyo,8.074946,4.276411,1,75.99,8.46,15.55,6.81,0.34,0.04,19.21,2.51,0.19
Oy201,Oyo,8.089351,4.247886,1,77.92,9.23,12.85,6.81,0.45,0.04,19.97,2.89,0.19
Oy202,Oyo,8.091301,4.199717,1,37.27,13.26,49.46,6.6,0.39,0.04,48.33,3.78,0.48
Oy203,Oyo,8.090563,4.261509,1,76.87,10.82,12.3,6.75,0.88,0.08,26.7,3.56,0.36
Oy204,Oyo,8.112967,4.188519,1,74.52,12.05,13.43,6.74,0.85,0.08,27.86,3.98,0.4
Oy205,Oyo,8.107689,4.187275,1,71.07,13.55,15.38,6.64,0.95,0.09,33.7,4.39,0.49
Oy206,Oyo,8.116832,4.200164,1,78.64,10.1,11.27,6.73,0.47,0.04,22.93,3.1,0.21
Oy207,Oyo,8.82227,4.049633,1,79.24,12.09,8.67,6.48,0.48,0.09,20.86,2.6,0.24
Oy208,Oyo,8.794206,4.033284,1,71.46,13.46,15.08,6.67,0.88,0.09,31.23,4.21,0.42
Oy209,Oyo,8.764512,4.03793,1,77.15,10,12.85,6.79,0.49,0.04,23.61,3.19,0.23
Oy210,Oyo,8.769935,4.078992,1,79.95,8.63,11.42,6.75,0.32,0.03,19.76,2.62,0.18
Oy211,Oyo,8.799309,4.136985,1,82.05,8.69,9.26,6.68,0.37,0.03,19.43,2.61,0.19
Oy212,Oyo,8.859059,4.151319,1,81.59,6.75,11.67,6.87,0.25,0.03,18.78,2.14,0.19
Oy213,Oyo,8.88188,4.228962,1,80.3,10.73,8.97,6.7,0.67,0.06,22.87,3.44,0.29
Oy214,Oyo,8.698043,4.184265,1,83.98,7.12,8.9,6.88,0.15,0.01,18.89,2.25,0.14
Oy215,Oyo,8.640258,4.1759,1,80.13,8.02,11.84,6.81,0.39,0.04,20.49,2.68,0.2
Oy216,Oyo,8.673181,4.006038,1,76.5,9.82,13.67,6.75,0.53,0.05,20.77,3.09,0.23
Oy217,Oyo,8.656933,3.986568,1,73.15,11.03,15.81,6.78,0.81,0.07,23.94,3.49,0.3
Oy218,Oyo,8.671505,4.04153,1,74.87,7.07,18.06,6.9,1.06,0.1,20.2,3.7,0.28
Oy219,Oyo,8.637223,4.074417,1,75.21,13.41,11.37,6.61,0.96,0.09,29.73,4.47,0.38
Oy220,Oyo,8.697517,4.077087,1,76.18,9.5,14.32,6.86,0.27,0.03,17.58,2.44,0.15
Oy221,Oyo,8.731952,4.120208,1,79.14,10.83,10.03,6.62,0.53,0.05,30.45,2.37,0.24
Oy222,Oyo,7.302753,3.863474,1,69.21,15.94,14.85,6.48,0.91,0.09,30.03,4.37,0.4
Oy223,Oyo,7.231005,3.841724,1,78.84,11.77,9.39,6.7,0.68,0.07,24.53,3.7,0.25
Oy224,Oyo,7.129022,3.790571,1,79.56,11.16,9.28,6.55,0.87,0.08,26.39,3.87,0.39
Oy225,Oyo,7.181896,3.822189,1,79.11,11.09,9.8,6.5,0.64,0.06,21.13,3.39,0.32
Oy226,Oyo,7.205809,3.881189,1,77,12.68,10.32,6.65,1.03,0.1,30.39,4.56,0.5
Oy227,Oyo,7.160102,3.876957,1,73.87,13.69,12.44,6.63,0.86,0.08,30.16,4.11,0.35
Oy228,Oyo,7.254961,3.878031,1,73.4,13.96,12.64,6.61,1.01,0.09,32.45,4.48,0.45
Oy229,Oyo,7.241846,3.938291,1,74.43,12.61,12.96,6.7,0.97,0.09,32.13,4.11,0.42
Oy230,Oyo,7.202975,3.941311,1,75.92,12.88,11.2,6.64,1,0.1,33.14,4.42,0.44
Oy231,Oyo,7.184093,3.976749,1,76.22,11.88,11.9,6.68,0.89,0.09,31.3,4.12,0.38
Oy232,Oyo,7.277181,4.035739,1,81.18,8.73,10.09,6.77,0.34,0.03,19.9,2.59,0.21
Oy233,Oyo,7.21941,4.028227,1,71.23,13.58,15.18,6.64,0.89,0.09,31.63,4.19,0.4
Oy234,Oyo,7.172817,4.040629,1,72.47,13.37,14.16,6.59,0.97,0.1,33.75,4.13,0.42
Oy235,Oyo,7.276253,4.08535,1,78.16,11.17,10.67,6.69,1.69,0.17,32.1,5.41,0.73
Oy236,Oyo,7.319515,3.992026,1,79.22,11.95,8.83,6.58,0.81,0.07,23.45,3.81,0.38
Oy237,Oyo,8.851018,3.819783,1,77.91,10.71,11.38,6.77,0.81,0.08,25.58,3.74,0.34
Oy238,Oyo,8.824345,3.819057,1,78.21,8.94,12.85,6.79,0.62,0.06,22.89,3.03,0.27
Oy239,Oyo,8.885119,3.759004,1,76.89,11.74,11.37,6.28,0.8,0.03,19.7,3.89,0.47
Oy240,Oyo,8.805853,3.746418,1,74.6,11.8,13.6,6.7,0.89,0.09,28.55,3.92,0.32
Oy241,Oyo,8.770604,3.744828,1,74.95,11.76,13.29,6.81,0.58,0.06,22.25,3.43,0.21
Oy242,Oyo,8.933373,3.659625,1,77.72,11.98,10.29,6.68,0.85,0.08,28.43,4.06,0.35
Oy243,Oyo,8.807427,3.859637,1,74.58,13.38,12.04,6.67,0.81,0.08,27.24,4.1,0.36
Oy244,Oyo,8.855842,3.874848,1,79.4,9.01,11.58,6.78,0.4,0.04,21.03,2.95,0.21
Oy245,Oyo,8.847144,3.867894,1,76.75,9.67,13.58,6.77,0.51,0.05,22.36,3.09,0.22
Oy246,Oyo,8.823308,3.851885,1,78.5,8.58,12.92,6.81,0.24,0.03,18.18,2.33,0.16
Oy247,Oyo,8.82574,3.83594,1,75.17,11.34,13.49,6.78,0.85,0.08,27.92,3.97,0.4
Oy248,Oyo,8.833303,3.798212,1,76.94,9.87,13.18,6.75,0.56,0.05,23.73,2.88,0.21
Oy249,Oyo,8.574643,4.176803,1,80.51,6.87,12.62,6.88,0.33,0.03,19.21,2.38,0.22
Oy250,Oyo,8.530899,4.193818,1,82.74,6.89,10.37,6.77,0.31,0.03,19.65,2.38,0.2
Oy251,Oyo,8.510704,4.164395,1,82.5,6.97,10.53,6.78,0.37,0.04,19.72,2.49,0.21
Oy252,Oyo,8.528981,4.111595,1,80.95,7.08,11.96,6.85,0.33,0.04,19.46,2.28,0.23
Oy253,Oyo,8.532208,4.07547,1,77.67,10.23,12.1,6.74,0.67,0.06,24.32,3.53,0.27
Oy254,Oyo,8.565265,4.051563,1,80.17,10.55,9.28,6.72,0.57,0.05,22.6,3.47,0.25
Oy255,Oyo,8.458887,4.167033,1,79.97,7.67,12.36,6.79,0.32,0.03,21.06,2.54,0.19
Oy256,Oyo,8.409804,4.127444,1,77.27,9.58,13.15,6.76,0.68,0.06,24.75,3.38,0.33
Oy257,Oyo,8.360346,4.153151,1,77.97,8.82,13.22,6.82,0.51,0.05,21.54,2.94,0.24
Oy258,Oyo,8.306407,4.226581,1,74.93,11.68,13.39,6.81,0.68,0.07,24.42,3.6,0.28
Oy259,Oyo,8.324426,4.264414,1,80.38,9.54,10.08,6.72,0.52,0.05,21.08,3.05,0.24
Oy260,Oyo,8.157596,4.154602,1,78.59,10.1,11.31,6.72,0.69,0.06,23.89,3.49,0.28
Oy261,Oyo,8.158261,4.10938,1,73.1,13.8,13.1,6.55,0.9,0.08,29.89,4.17,0.48
Oy262,Oyo,8.280623,4.08969,1,78.44,8.42,13.13,6.83,0.38,0.04,19.82,2.65,0.2
Oy263,Oyo,8.23475,4.042608,1,72.05,12.32,15.63,6.75,0.71,0.06,27.91,3.77,0.36
Oy264,Oyo,8.099583,4.117437,1,82.91,7.63,9.46,6.9,0.17,0.02,17.6,2.04,0.14
Oy265,Oyo,8.102578,4.052821,1,70.47,13.58,15.95,6.55,0.63,0.07,24.86,3.11,0.32
Oy266,Oyo,7.88204,3.999666,1,81.92,7.64,10.44,6.92,0.18,0.02,16.6,1.94,0.15
Oy267,Oyo,7.867578,4.001946,1,73.27,15.98,10.75,6.51,0.73,0.08,23.53,3.35,0.4
Oy268,Oyo,7.892234,4.077243,1,80.6,9.16,10.24,6.72,0.39,0.04,20.08,2.59,0.19
Oy269,Oyo,7.897617,4.075985,1,77.6,13.17,9.24,6.56,0.65,0.05,21.19,3.5,0.31
Oy270,Oyo,7.944889,4.07503,1,79.46,9.42,11.13,6.7,0.63,0.06,26.05,3.14,0.34
Oy271,Oyo,7.936301,4.042562,1,76.66,12.77,10.57,6.64,0.77,0.07,30.27,4.03,0.36
Oy272,Oyo,7.874515,3.972954,1,79.46,8.42,12.12,6.83,0.21,0.03,17.55,2.32,0.16
Oy273,Oyo,7.884488,3.869643,1,84.51,7.01,8.49,6.95,0.15,0.02,16.54,1.76,0.14
Oy274,Oyo,7.910192,3.832623,1,83.42,7.74,8.84,6.8,0.22,0.02,18.73,2.34,0.15
Oy275,Oyo,7.904102,3.774714,1,82.86,7.08,10.06,6.77,0.53,0.05,21.51,2.77,0.24
Oy276,Oyo,7.936725,3.820084,1,82.4,6.76,10.84,6.93,0.16,0.02,16.29,1.91,0.15
Oy277,Oyo,7.967573,3.818221,1,81.38,7.78,10.84,6.73,0.34,0.03,20.38,2.52,0.21
Oy278,Oyo,8.588902,3.628423,1,78.79,11.43,9.78,6.67,0.84,0.08,26.59,3.96,0.33
Oy279,Oyo,8.616351,3.592537,1,78.14,10.69,11.18,6.74,0.64,0.06,24.45,3.53,0.27
Oy280,Oyo,8.608071,3.479405,1,77.14,11.13,11.73,6.71,0.78,0.07,25.15,3.58,0.35
Oy281,Oyo,8.58066,3.486051,1,80.7,9.58,9.73,6.69,0.4,0.04,20.36,2.68,0.22
Oy282,Oyo,8.665822,3.598813,1,72.11,14.61,13.28,6.53,0.91,0.08,26.7,3.98,0.44
Oy283,Oyo,8.6693,3.59709,1,73.67,13.98,12.35,6.61,0.83,0.08,26.52,4.09,0.4
Oy284,Oyo,8.722333,3.601169,1,76.72,9.89,13.4,6.75,0.43,0.04,21.75,2.91,0.2
Oy285,Oyo,8.721142,3.597415,1,77.29,9.95,12.76,6.77,0.5,0.05,22,2.98,0.21
Oy286,Oyo,8.891509,3.560727,1,78.08,11.51,10.41,6.66,0.74,0.07,25.25,3.71,0.29
Oy287,Oyo,8.892394,3.563869,1,79.24,11.27,9.5,6.57,0.96,0.09,28.48,4.04,0.43
Oy288,Oyo,8.67882,3.686364,1,82.11,9.34,8.55,6.62,0.57,0.05,22.5,3.29,0.25
Oy289,Oyo,8.676773,3.68829,1,77.88,9.38,12.73,6.72,0.45,0.04,21.8,2.73,0.19
Oy290,Oyo,8.583844,3.626085,1,70.36,19.74,9.9,6.5,1.51,0.16,26.92,4.79,0.84
Oy291,Oyo,8.612628,3.594167,1,66.99,22.33,10.68,6.38,0.7,0.07,17.81,3.18,0.35
Oy292,Oyo,8.617282,3.570988,1,84.25,7.03,8.72,6.6,0.45,0.04,18.71,2.91,0.19
Oy293,Oyo,8.611015,3.481378,1,75.1,13.78,11.12,6.57,1.01,0.1,33.79,4.48,0.49
Oy294,Oyo,8.580693,3.48589,1,80.18,9.9,9.92,6.63,0.44,0.04,20.14,2.9,0.21
Oy295,Oyo,8.633614,3.415432,1,79.55,10.55,9.89,6.7,0.56,0.06,21.57,3.44,0.24
Oy296,Oyo,8.599236,3.433671,1,75.75,12,12.25,6.71,0.71,0.07,24.51,3.67,0.29
Oy297,Oyo,8.656143,3.395162,1,77.4,12.18,10.42,6.55,1,0.09,28.1,4.23,0.46
Oy298,Oyo,8.73034,3.352016,1,77.52,11.91,10.57,6.69,0.69,0.07,26.44,3.63,0.31
Oy299,Oyo,8.742261,3.259384,1,76.61,10.08,13.31,6.77,0.6,0.06,24.43,3.39,0.27
Oy300,Oyo,8.648626,3.208061,1,77.37,9.98,12.65,6.76,0.48,0.04,22.83,3.17,0.22
Oy301,Oyo,8.735619,3.425802,1,75.63,12.01,12.36,6.75,0.79,0.07,28.97,3.83,0.31
Oy302,Oyo,8.705641,3.525751,1,81.23,10.42,8.34,6.64,0.67,0.06,23.36,3.6,0.26
Oy303,Oyo,8.692023,3.524809,1,77.97,10.47,11.57,6.71,0.56,0.05,25.51,3.24,0.24
Oy304,Oyo,8.732042,3.423029,1,75.22,12.22,12.56,6.7,0.87,0.08,31.47,3.9,0.37
Oy305,Oyo,8.660103,3.46312,1,80.62,9.11,10.27,6.8,0.46,0.05,20.64,2.83,0.22
Oy306,Oyo,8.658493,3.465563,1,79.21,9.61,11.18,6.79,0.5,0.05,21.4,2.96,0.23
Oy307,Oyo,8.612165,3.366082,1,80.76,9.01,10.23,6.75,0.25,0.03,19.06,2.48,0.18
Oy308,Oyo,8.613946,3.363782,1,70.7,14.19,15.11,6.59,0.93,0.08,33.42,4.25,0.46
Oy309,Oyo,8.638771,3.282773,1,73.53,14.43,12.04,6.56,0.8,0.09,25.56,3.24,0.38
Oy310,Oyo,8.123443,4.319072,1,72.9,9.52,17.58,6.83,0.24,0.03,18.79,2.5,0.14
Oy311,Oyo,8.149683,4.428739,1,80.08,7.71,12.21,6.92,0.16,0.02,16.81,2,0.13
Oy312,Oyo,8.161768,4.401234,1,79.2,9.26,11.54,6.71,0.58,0.06,24.02,3.09,0.3
Oy313,Oyo,8.188243,4.407129,1,79.79,7.67,12.53,6.78,0.61,0.06,23.53,3.03,0.3
Oy314,Oyo,8.159685,4.41647,1,77.7,9.91,12.4,6.77,0.67,0.06,22.95,3.16,0.29
Oy315,Oyo,8.22557,4.381365,1,72.61,10.96,16.42,6.77,0.71,0.07,24.32,3.5,0.29
Oy316,Oyo,8.131846,4.38036,1,67.76,13.83,18.41,6.64,0.85,0.07,30.8,4,0.41
Oy317,Oyo,8.108145,4.396958,1,77.12,9.63,13.25,6.78,0.55,0.05,22.55,2.96,0.27
Oy318,Oyo,8.06823,4.422187,1,79.14,7.82,13.04,6.85,0.32,0.03,20.28,2.47,0.21
Oy319,Oyo,8.064395,4.460894,1,83.47,6.55,9.99,6.84,0.6,0.06,20.64,2.41,0.23
Oy320,Oyo,8.079942,4.356328,1,75.05,9.73,15.23,6.82,0.69,0.06,23.81,3.18,0.29
Oy321,Oyo,7.993731,4.347005,1,74.69,11.19,14.13,6.82,0.72,0.07,26.49,3.6,0.34
Oy322,Oyo,7.953208,4.391477,1,71.96,13.94,14.11,6.59,1.15,0.11,34.91,4.95,0.57
Og65,Ogun,6.410917,4.541806,1,92.6,4.2,3.2,5.48,0.673,0.121,14.46,NaN,0.21
Og66,Ogun,6.450306,4.422639,1,94.8,3.4,1.8,5.74,1.195,0.156,5.032,NaN,0.192
Og67,Ogun,6.429462,4.467689,1,92.8,3.4,3.8,4.43,0.563,0.082,2.98,NaN,0.198
Og68,Ogun,6.44717,4.54552,1,84.6,6.2,9.2,4.62,1.93,0.149,7.963,NaN,0.24
Og69,Ogun,6.493133,2.818112,1,87.2,4.2,8.6,6.16,1.116,0.087,4.432,NaN,0.054
Og70,Ogun,6.515901,2.741563,1,69.8,16,14.2,5.97,0.92,0.117,3.429,NaN,0.36
Og71,Ogun,6.523494,3.112447,1,83.2,4.2,12.6,4.99,0.864,0.108,5.422,NaN,0.06
Og72,Ogun,6.511846,4.216487,1,82.6,6.2,11.2,7.21,2.116,0.176,44.502,NaN,0.24
Og73,Ogun,6.515776,4.367481,1,86.6,4.2,9.2,7.24,1.848,0.237,30.189,NaN,0.21
Og74,Ogun,6.514161,4.451576,1,80.6,6.2,13.2,6.63,0.969,0.137,8.305,NaN,0.144
Og75,Ogun,6.498911,2.871965,1,67.2,6.2,26.6,5.39,1.415,0.112,8.237,NaN,0.102
Og76,Ogun,6.545804,4.511465,1,74.6,8.2,17.2,6.06,1.759,0.211,12.994,NaN,0.216
Og77,Ogun,6.51274,2.978574,1,81.2,4.2,14.6,5.27,1.149,0.089,7.455,NaN,0.054
Og78,Ogun,6.518686,3.02146,1,89.2,4.2,6.6,6.04,0.558,0.042,4.484,NaN,0.066
Og79,Ogun,6.596909,2.877014,1,90.8,4.2,5,6.27,0.796,0.092,4.275,NaN,0.084
Og80,Ogun,6.591558,3.106375,1,86.8,4.2,9,6.48,1.245,0.144,4.379,NaN,0.078
Og81,Ogun,6.614108,4.121714,1,92.6,4.2,3.2,6.47,1.663,0.196,41.278,NaN,0.15
Og82,Ogun,6.594231,4.216487,1,86.6,4.2,9.2,6.86,2.83,0.188,21.885,NaN,0.192
Og83,Ogun,6.594231,4.383955,1,84.6,8.2,7.2,6.47,0.495,0.074,24.181,NaN,0.192
Og84,Ogun,6.598124,2.962302,1,78.8,6.2,15,6.19,0.803,0.103,11.522,NaN,0.066
Og85,Ogun,6.572889,2.781639,1,84.8,4.2,11,6.38,0.606,0.075,5.318,NaN,0.054
Og86,Ogun,6.667896,2.81665,1,90.8,4.2,5,6.48,0.809,0.068,6.099,NaN,0.054
Og87,Ogun,6.67537,2.903308,1,82.4,4.2,13.4,7.25,0.659,0.071,4.066,NaN,0.06
Og88,Ogun,6.717484,3.013014,1,80.4,6.2,13.4,7.42,0.959,0.127,5.318,NaN,0.078
Og89,Ogun,6.686826,4.122671,1,56.6,22.2,21.2,6.16,1.979,0.159,14.02,NaN,0.252
Og90,Ogun,6.680876,4.222453,1,88.6,4.2,7.2,6.45,1.443,0.116,8.94,NaN,0.198
Og91,Ogun,6.705444,4.392333,1,76.6,10.2,13.2,5.68,1.573,0.175,6.351,NaN,0.246
Og92,Ogun,6.739672,3.982145,1,66.6,22.2,11.2,6.79,1.319,0.161,8.598,NaN,0.306
Og93,Ogun,6.758972,2.795573,1,86.4,4.2,9.4,7.29,2.286,0.174,5.631,NaN,0.168
Og94,Ogun,6.73425,2.875964,1,88.4,4.2,7.4,7.41,1.463,0.163,6.882,NaN,0.078
Og95,Ogun,6.75586,3.040631,1,76.4,10.2,13.4,6.94,1.538,0.129,4.953,NaN,0.06
Og96,Ogun,6.772563,3.471269,1,80.4,4.2,15.4,6.85,0.766,0.094,13.555,NaN,0.15
Og97,Ogun,6.747471,3.599706,1,90.4,4.2,5.4,7.1,1.413,0.099,7.507,NaN,0.108
Og98,Ogun,6.757912,3.629292,1,66.4,14.2,19.4,6.84,0.785,0.067,4.953,NaN,0.096
Og99,Ogun,6.785741,3.72994,1,76.4,4.2,19.4,6.92,0.573,0.041,8.654,NaN,0.54
Og100,Ogun,6.7526,3.79984,1,82.4,4.8,12.8,5.69,0.504,0.035,5.786,NaN,0.096
Og101,Ogun,6.761592,4.044954,1,62.6,24.2,13.2,6.75,1.395,0.094,24.718,NaN,0.282
Og102,Ogun,6.758092,4.220223,1,88.6,4.2,7.2,7.14,1.243,0.145,5.52,NaN,0.216
Og103,Ogun,6.73948,4.398758,1,74.6,4.2,21.2,6.75,1.127,0.097,10.161,NaN,0.234
Og104,Ogun,6.765248,4.141473,1,76.6,6.2,17.2,6.84,1.738,0.161,17.342,NaN,0.24
Og105,Ogun,6.821469,4.131358,1,68.6,12.2,19.2,6.35,2.157,0.178,12.896,NaN,0.348
Og106,Ogun,6.832757,4.233485,1,80.6,4.2,15.2,6.23,3.16,0.233,6.644,NaN,0.276
