sN,State,Lat,Long,Depth,sand_content,silt_content,clay_content,pH,carbon_organic,nitrogen_total,phosphorous_extractable,calcium_extractable,potassium_extractable
Og107,Ogun,6.839798,3.712007,1,76.4,12.8,10.8,6.13,0.759,0.082,5.767,NaN,0.048
Og108,Ogun,6.845192,2.790723,1,86.4,4.8,8.8,7.12,0.834,0.088,11.973,NaN,0.048
Og109,Ogun,6.843684,2.879635,1,86.4,6.8,6.8,6.04,0.641,0.053,3.076,NaN,0.042
Og110,Ogun,6.841889,3.304559,1,51.432,20.712,27.856,6.2,0.837,0.081,11.53,NaN,0.2846242
Og111,Ogun,6.840861,3.38108,1,71.432,12.712,15.856,7.2,0.638,0.075,13.25,NaN,0.6156874
Og112,Ogun,6.841636,3.795041,1,80.4,4.8,14.8,6.58,0.809,0.102,7.469,NaN,0.12
Og113,Ogun,6.845186,4.3825,1,70.6,4.2,25.2,6.49,2.329,0.208,3.713,NaN,0.198
Og114,Ogun,6.844179,4.47623,1,74.6,14.2,11.2,5.96,1.079,0.076,6.253,NaN,0.216
Og115,Ogun,6.853509,3.013649,1,92.4,4.8,2.8,7.08,0.473,0.055,3.184,NaN,0.054
Og116,Ogun,6.850683,3.97821,1,62.6,24.2,13.2,6.44,1.498,0.122,13.385,NaN,0.24
Og117,Ogun,6.856586,4.054142,1,62.6,28.2,9.2,6.77,1.876,0.203,6.399,NaN,0.228
Og118,Ogun,6.853936,3.116261,1,80.4,4.8,14.8,6.49,0.492,0.029,5.217,NaN,0.066
Og119,Ogun,6.864813,3.485286,1,75.432,16.712,7.856,6.2,1.396,0.109,10.56,NaN,0.1037656
Og120,Ogun,6.875748,3.614527,1,85.8,4.8,9.4,6.38,0.623,0.044,10.325,NaN,0.066
Og121,Ogun,6.902939,3.803564,1,87.8,4.8,7.4,6.38,0.872,0.117,2.471,NaN,0.06
Og122,Ogun,6.917916,3.597223,1,83.8,6.8,9.4,6.27,0.467,0.034,2.636,NaN,0.066
Og123,Ogun,6.917434,2.771017,1,85.8,4.8,9.4,6.55,0.635,0.077,2.526,NaN,0.084
Og124,Ogun,6.920658,2.882273,1,89.8,4.8,5.4,6.95,2.042,0.181,7.029,NaN,0.078
Og125,Ogun,6.926807,3.043155,1,81.8,4.8,13.4,6.55,0.635,0.084,6.645,NaN,0.042
Og126,Ogun,6.904858,3.116253,1,87.8,4.8,7.4,7.66,1.233,0.107,17.904,NaN,0.072
Og127,Ogun,6.921803,3.293273,1,69.432,18.712,11.856,6.5,0.718,0.047,8.8,NaN,0.7727024
Og128,Ogun,6.924017,3.377002,1,75.432,18.712,5.856,6.7,0.678,0.066,8.97,NaN,0.3343502
Og129,Ogun,6.918912,3.47733,1,79.432,12.712,7.856,6.5,0.798,0.079,11.09,NaN,0.2049238
Og130,Ogun,6.928924,3.55163,1,71.36,18.712,9.928,6.6,1.157,0.129,11.13,NaN,0.2110546
Og131,Ogun,6.928444,3.730858,1,91.8,4.8,3.4,7.72,1.096,0.088,5.931,NaN,0.072
Og132,Ogun,6.971469,3.139931,1,89.8,4.8,5.4,7.54,0.897,0.067,6.261,NaN,0.048
Og133,Ogun,6.998225,3.643108,1,81.36,12.712,5.928,6.5,1.236,0.216,8.4,NaN,0.6991328
Og134,Ogun,6.974148,3.037875,1,91.8,4.8,3.4,6.73,1.694,0.137,7.139,NaN,0.048
Og135,Ogun,7.009819,3.989418,1,77.8,4.8,17.4,6.93,0.809,0.066,2.471,NaN,0.126
Og136,Ogun,6.993737,3.791109,1,91.8,4.8,3.4,7.25,1.17,0.095,14.169,NaN,0.078
Og137,Ogun,7.006992,2.792314,1,91.8,4.8,3.4,7.23,1.288,0.101,9.062,NaN,0.15
Og138,Ogun,7.000168,2.926765,1,81.8,4.8,13.4,7.15,1.687,0.136,17.355,NaN,0.066
Og139,Ogun,7.002302,3.219855,1,75.216,21.432,3.352,6.9,1.436,0.088,5.23,NaN,0.095249
Og140,Ogun,7.000779,3.280173,1,79.216,13.432,7.352,7,0.798,0.144,10.43,NaN,0.076177
Og141,Ogun,7.006934,3.3622,1,67.216,15.632,17.152,5.5,2.114,0.191,9.59,NaN,0.9198416
Og142,Ogun,7.008871,3.475604,1,77.216,13.432,9.352,6.4,2.713,0.231,9.1,NaN,0.8278796
Og143,Ogun,7.002816,3.551402,1,83.216,11.432,5.352,7,0.478,0.239,12.06,NaN,0.3888478
Og144,Ogun,7.00833,3.713384,1,81.8,4.8,13.4,6.05,1.818,0.155,11.314,NaN,0.156
Og145,Ogun,7.013641,4.048849,1,93.8,4.8,1.4,6.44,1.407,0.129,12.522,NaN,0.132
Og146,Ogun,7.004145,4.110785,1,85.8,4.8,9.4,6.67,1.867,0.159,28.394,NaN,0.114
Og147,Ogun,7.052583,4.187917,1,91.8,4.8,3.4,7.25,1.369,0.116,17.794,NaN,0.102
Og148,Ogun,7.052583,4.187917,1,85.8,4.8,9.4,6.64,0.679,0.084,26.087,NaN,0.06
Og149,Ogun,7.081812,3.265199,1,93.8,4.8,1.4,6.56,0.971,0.107,13.455,NaN,0.084
Og150,Ogun,7.083077,3.616162,1,64.216,26.224,9.56,6.2,2.074,0.256,11.66,NaN,0.3152782
Og151,Ogun,7.091221,3.695973,1,85.216,12.296,2.488,6.4,1.835,0.298,12.41,NaN,0.4532212
Og152,Ogun,7.099042,3.009918,1,91.8,4.8,3.4,5.65,0.809,0.11,6.364,NaN,0.078
Og153,Ogun,7.088538,3.211681,1,94.4,4.8,0.8,6.44,1.189,0.122,1.481,NaN,0.072
Og154,Ogun,7.088538,3.965286,1,86.8,3.2,10,7,1.656,0.147,2.634,NaN,0.066
Og155,Ogun,7.088538,3.379149,1,85.216,14.296,0.488,7.1,0.718,0.299,11.09,NaN,0.4532212
Og156,Ogun,7.09902,3.125114,1,82.8,3.2,14,7.12,1.096,0.088,5.267,NaN,0.186
Og157,Ogun,7.092924,3.459064,1,74.288,14.152,11.56,7.6,1.476,0.127,13.91,NaN,0.7383034
Og158,Ogun,7.16465,2.804212,1,86.8,3.2,10,5.76,1.531,0.125,2.688,NaN,0.078
Og159,Ogun,7.1674,3.110275,1,64.8,13.2,22,6.07,0.878,0.106,1.152,NaN,0.096
Og160,Ogun,7.171207,2.87697,1,66.8,23.2,10,6.33,0.828,0.086,3.127,NaN,0.096
Og161,Ogun,7.170752,3.034443,1,56.8,27.2,16,6.44,0.61,0.051,5.048,NaN,0.09
Og162,Ogun,7.174042,3.456751,1,78.216,14.224,7.56,7.7,1.037,0.084,11.84,NaN,0.3459322
Og163,Ogun,7.173081,3.255825,1,66.8,25.2,8,6.48,0.959,0.063,2.085,NaN,0.09
Og164,Ogun,7.170658,3.203661,1,84.8,3.2,12,6.64,0.822,0.066,0.933,NaN,0.126
Og165,Ogun,7.214645,2.820786,1,82.8,7.2,10,6.8,1.946,0.163,2.853,NaN,0.126
Og166,Ogun,7.253307,3.127947,1,62.8,9.2,28,7.01,0.875,0.101,2.085,NaN,0.066
Og167,Ogun,7.253307,3.211681,1,84.8,5.2,10,7.8,2.721,0.198,20.136,NaN,0.12
Og168,Ogun,7.250825,3.297033,1,86.4,3.6,10,7.35,2.478,0.213,3.127,NaN,0.108
Og169,Ogun,7.254673,3.382129,1,81.288,12.512,6.2,7.3,0.598,0.149,11.62,NaN,0.3030166
Og170,Ogun,7.231219,3.45132,1,81.288,12.512,6.2,7,1.436,0.108,13.21,NaN,0.6003604
Og171,Ogun,7.253135,3.631285,1,75.144,14.296,10.56,7.2,0.758,0.179,12.41,NaN,0.4532212
Og172,Ogun,7.250518,3.716975,1,85.288,12.296,2.416,7.5,0.798,0.047,11.84,NaN,0.3398014
Og173,Ogun,7.253886,2.793293,1,82.4,3.6,14,7.02,2.997,0.157,5.871,NaN,0.084
Og174,Ogun,7.261905,3.056718,1,66.4,15.6,18,7.21,0.855,0.115,2.634,NaN,0.048
Og175,Ogun,7.332684,2.791554,1,82.4,5.6,12,7.02,1.185,0.132,5.157,NaN,0.042
Og176,Ogun,7.336282,2.880352,1,74.4,7.6,18,6.58,2.168,0.241,7.626,NaN,0.114
Og177,Ogun,7.330437,3.04865,1,86.4,3.6,10,6.91,0.842,0.068,8.12,NaN,0.15
Og178,Ogun,7.329111,3.129623,1,92.4,3.6,4,6.76,2.35,0.183,14.319,NaN,0.078
Og179,Ogun,7.342662,3.224554,1,86.4,3.6,10,6.53,0.754,0.096,9.163,NaN,0.138
Og180,Ogun,7.253135,3.631285,1,85.216,13.864,0.92,7.8,0.638,0.168,11.18,NaN,0.2171854
Og181,Ogun,7.250518,3.716975,1,85.288,12.728,1.984,7.4,0.798,0.077,12.85,NaN,0.535987
Og182,Ogun,7.335691,3.379149,1,79.216,14.368,6.416,7,0.798,0.076,10.03,NaN,0.0026074
Og183,Ogun,7.330511,3.463236,1,75.288,16.512,8.2,7.3,0.917,0.187,13.03,NaN,0.5727718
Og184,Ogun,7.412258,2.869323,1,92.4,3.6,4,6.3,2.747,0.177,7.791,NaN,0.168
Og185,Ogun,7.417316,2.792346,1,86.4,3.6,10,6.66,0.694,0.054,12.07,NaN,0.21
Og186,Ogun,7.403356,3.056262,1,92.4,3.2,4.4,6.26,0.613,0.048,8.175,NaN,0.192
Og187,Ogun,7.420536,3.453924,1,65.144,12.296,22.56,7,2.972,0.158,11.18,NaN,0.2171854
Og188,Ogun,7.420513,3.633862,1,73.576,13.216,13.208,6.6,0.798,0.278,11.49,NaN,0.2784934
Og189,Ogun,7.476645,3.038557,1,82.4,7.2,10.4,5.7,1.582,0.116,7.297,NaN,0.156
Og190,Ogun,7.485979,2.802052,1,84.4,3.2,12.4,6.56,2.047,0.231,5.028,NaN,0.21
Og191,Ogun,7.497582,2.886583,1,86.4,3.2,10.4,6.04,1.084,0.128,2.881,NaN,0.078
Og192,Ogun,7.547944,2.96718,1,76.4,13.2,10.4,6.16,0.619,0.049,3.422,NaN,0.168
Og193,Ogun,7.582965,2.788768,1,76.4,3.2,20.4,6.45,1.104,0.084,2.834,NaN,0.144
Og194,Ogun,7.582619,2.879313,1,86.4,3.2,10.4,6.83,1.407,0.097,4.919,NaN,0.132
Og195,Ogun,7.659229,2.801169,1,90.4,3.2,6.4,6.81,0.899,0.118,3.315,NaN,0.15
Og196,Ogun,7.665229,2.876745,1,86.4,3.2,10.4,6.32,1.883,0.214,3.101,NaN,0.144
Og197,Ogun,7.744485,2.793789,1,90.4,3.2,6.4,6.74,3.079,0.238,0.802,NaN,0.252
Og198,Ogun,7.747554,2.880802,1,86.8,2.8,10.4,6.81,1.004,0.136,15.823,NaN,0.108
Og199,Ogun,7.34929,2.84535,1,74.4,22,3.6,6.75,0.795,0.096,10.369,NaN,0.09
Og200,Ogun,7.829507,2.792579,1,84.8,4.8,10.4,6.61,0.542,0.066,5.774,NaN,0.114
Og201,Ogun,7.891521,2.865711,1,80.8,4.8,14.4,6.92,0.694,0.077,7.699,NaN,0.138
Os15,Osun,7.66102,4.87628,1,66.8,20,13.2,6.58,1.293,0.172,6.044,NaN,0.115
Os336,Osun,7.09096,4.32508,1,68.8,25,6.2,6.74,1.845,0.155,7.453,NaN,0.072
Os337,Osun,7.08549,4.33122,1,90.8,6,3.2,6.41,1.522,0.128,2.466,NaN,0.08
Os338,Osun,7.09162,4.22087,1,86.4,10,3.6,6.54,2.834,0.361,5.173,NaN,0.205
Os339,Osun,7.07596,4.38599,1,69.4,26,4.6,6.65,2.815,0.166,4.642,NaN,0.3
Os340,Osun,7.12348,4.32984,1,70.4,24,5.6,5.82,1.129,0.198,4.642,NaN,0.075
Os341,Osun,7.16899,4.36246,1,78.4,18.4,3.2,6.11,2.244,0.199,29.348,NaN,0.31
Os342,Osun,7.17604,4.15434,1,84.8,12,3.2,6.85,1.896,0.146,4.642,NaN,0.49
Os343,Osun,7.17414,4.24493,1,86.4,10.4,3.2,5.46,0.742,0.092,10.54,NaN,0.475
Os344,Osun,7.17442,4.45792,1,86.4,10,3.6,6.9,3.265,0.468,3.046,NaN,0.1
Os345,Osun,7.17443,4.62605,1,84.4,12.4,3.2,5.51,0.729,0.591,6.382,NaN,0.11
Os346,Osun,7.25334,4.62671,1,72.4,17,10.6,6.51,2.358,0.188,3.723,NaN,0.145
Os347,Osun,7.24751,4.13741,1,94.4,2,3.6,6.49,2.929,0.241,10.589,NaN,0.34
Os348,Osun,7.24673,4.3858,1,68.4,22,9.6,6.11,1.071,0.133,14.11,NaN,0.265
Os349,Osun,7.24349,4.47296,1,78.8,18,3.2,6.51,1.839,0.211,25.577,NaN,0.14
Os350,Osun,7.24783,4.20248,1,73.6,22.2,4.2,6.32,1.528,0.137,4.642,NaN,0.175
Os351,Osun,7.33248,4.22013,1,84,12.8,3.2,6.34,0.577,0.081,5.754,NaN,0.14
Os352,Osun,7.34061,4.37314,1,82.8,12.6,4.6,6.58,0.718,0.084,10.24,NaN,0.146
Os353,Osun,7.34667,4.49462,1,80.4,14.4,5.2,5.58,1.407,0.125,16.004,NaN,0.4
Os354,Osun,7.3371,4.63487,1,68.4,24.4,7.2,5.87,1.839,0.159,12.426,NaN,0.13
Os355,Osun,7.33453,4.71697,1,84.4,12.4,3.2,6.11,2.618,0.189,8.171,NaN,0.23
Os356,Osun,7.41942,4.37317,1,90.4,6,3.6,6.97,0.501,0.062,4.013,NaN,0.065
Os357,Osun,7.43249,4.46476,1,88.4,8.4,3.2,6.54,1.585,0.087,9.96,NaN,0.165
Os358,Osun,7.43249,4.46476,1,88.4,8.4,3.2,6.77,0.678,0.055,9.38,NaN,0.135
Os359,Osun,7.42276,4.63638,1,68.2,11.4,20.4,6.6,2.035,0.166,4.642,NaN,0.215
Os360,Osun,7.42276,4.63638,1,66.4,10,23.6,5.23,0.659,0.086,5.899,NaN,0.13
Os361,Osun,7.4236,4.7328,1,74.4,13,12.6,5.56,2.244,0.251,4.642,NaN,0.16
Os362,Osun,7.42165,4.80682,1,85.2,10.6,4.2,6.31,1.553,0.122,5.754,NaN,0.19
Os363,Osun,7.42039,4.88326,1,64.8,22,13.2,6.94,1.033,0.087,2.176,NaN,0.135
Os364,Osun,7.49708,4.20445,1,75.4,20.4,4.2,6.54,1.129,0.091,11.024,NaN,0.23
Os365,Osun,7.50335,4.36755,1,70.8,23,6.2,6.03,1.763,0.191,4.642,NaN,0.25
Os366,Osun,7.49961,4.46885,1,72.4,24,3.6,6.93,1.458,0.124,5.028,NaN,0.275
Os367,Osun,7.55575,4.7285,1,56.4,20,23.6,5.77,1.401,0.118,12.378,NaN,0.15
Os368,Osun,7.59047,4.64348,1,74.4,21.4,4.2,6.42,2.365,0.159,2.756,NaN,0.17
Os369,Osun,7.55524,4.51664,1,88.4,8,3.6,5.39,1.458,0.152,4.642,NaN,0.205
Os370,Osun,7.5735,4.20051,1,78.8,18,3.2,6.86,1.192,0.085,14.747,NaN,0.19
Os371,Osun,7.5694,4.38263,1,86.4,10,3.6,6.26,1.826,0.138,6.189,NaN,0.24
Os372,Osun,7.57984,4.89165,1,66.8,22,11.2,6.02,2.32,0.176,4.545,NaN,0.16
Os373,Osun,7.54352,4.8196,1,74.4,22,3.6,6.39,2.105,0.194,5.173,NaN,0.48
Os374,Osun,7.65949,4.13076,1,81.8,13,5.2,6.82,1.125,0.099,4.51,NaN,0.128
Os375,Osun,7.66435,4.2506,1,92.4,4.4,3.2,6.8,0.786,0.092,4.738,NaN,0.135
Os376,Osun,7.68787,4.64254,1,62.8,18,19.2,7.24,1.198,0.141,3.53,NaN,0.385
Os377,Osun,7.68326,4.29797,1,92.8,4,3.2,7.23,2.194,0.157,5.947,NaN,0.175
Os378,Osun,7.66005,4.40041,1,88.8,8,3.2,6.06,1.211,0.102,4.352,NaN,0.07
Os379,Osun,7.66047,4.81596,1,66.4,29.4,4.2,5.56,1.135,0.087,6.286,NaN,0.095
Os380,Osun,7.66889,4.72024,1,73.2,21.2,5.6,7.12,2.01,0.238,19.195,NaN,0.11
Os381,Osun,7.66889,4.72024,1,82.4,14.4,3.2,6.16,1.255,0.114,15.182,NaN,0.3
Os382,Osun,7.72514,4.62666,1,86.4,10.4,3.2,5.97,1.122,0.14,8.123,NaN,0.16
Os383,Osun,7.74038,4.22482,1,72.8,24,3.2,6.3,2.726,0.217,4.883,NaN,0.09
Os384,Osun,7.74921,4.13833,1,76.8,20,3.2,6.41,0.754,0.086,5.512,NaN,0.125
Os385,Osun,7.74198,4.47188,1,67.8,24,8.2,5.76,1.598,0.135,4.642,NaN,0.06
Os386,Osun,7.74991,4.32242,1,84.4,9.4,6.2,5.17,0.97,0.124,4.642,NaN,0.12
Os387,Osun,7.75669,4.39223,1,80.8,16,3.2,7,1.148,0.095,12.764,NaN,0.225
Os388,Osun,7.80272,4.60424,1,82.4,14.4,3.2,5.89,1.604,0.141,5.609,NaN,0.135
Os389,Osun,7.81304,4.73521,1,66.4,29.4,4.2,5.84,0.748,0.087,6.769,NaN,0.09
Os390,Osun,7.8331,4.37751,1,76.8,16,7.2,6.42,1.084,0.078,1.741,NaN,0.18
Os391,Osun,7.8279,4.46535,1,74.8,20,5.2,5.85,0.742,0.061,2.321,NaN,0.115
Os392,Osun,7.82028,4.79927,1,62.8,14,23.2,6.64,1.401,0.085,5.512,NaN,0.22
Os393,Osun,7.83078,4.88107,1,76.4,19.4,4.2,6.38,1.331,0.11,6.672,NaN,0.33
Os394,Osun,7.83068,4.14299,1,76.8,18,5.2,7.35,1.572,0.129,3.288,NaN,0.16
Os395,Osun,7.83645,4.28619,1,89.4,5,5.6,6.62,1.249,0.118,4.642,NaN,0.22
Os396,Osun,7.83816,4.21077,1,88.4,6,5.6,6.37,1.68,0.128,4.642,NaN,0.085
Os397,Osun,7.89917,4.74256,1,85.8,11,3.2,6.96,0.659,0.047,4.4,NaN,0.265
Os398,Osun,7.89536,4.87258,1,76.4,20,3.6,7.13,1.858,0.146,13.586,NaN,0.265
Os399,Osun,7.87069,4.62419,1,72.4,12,15.6,6.65,3.259,0.233,4.642,NaN,0.15
Os400,Osun,7.91012,4.21666,1,78.4,18.4,3.2,6.49,1.775,0.155,26.544,NaN,0.23
Os401,Osun,7.9177,4.81504,1,81.2,15.2,3.6,7.19,1.407,0.128,17.696,NaN,0.25
Os402,Osun,7.92767,4.27966,1,78.8,18,3.2,6.44,0.983,0.112,13.441,NaN,0.15
Os403,Osun,7.99794,4.6342,1,94.4,2,3.6,6.53,1.268,0.097,35.222,NaN,0.11
Os404,Osun,8.07699,4.88828,1,87.2,8.6,4.2,6.49,0.577,0.029,6.237,NaN,0.105
LA44,Lagos,6.426799,2.725799,1,92.4,4,3.6,5.13,0.843,0.121,10.787,2.55,0.12
LA45,Lagos,6.426036,2.801748,1,90.4,6,3.6,5,0.622,0.081,3.132,2.79,0.1
LA46,Lagos,6.416836,3.032998,1,92.4,4,3.6,6.87,0.518,0.072,9.594,4.05,0.12
LA47,Lagos,6.430917,2.870194,1,90.4,4,5.6,5.82,0.57,0.077,7.755,2.53,0.06
LA48,Lagos,6.454361,3.221361,1,91.4,3,5.6,6.74,0.939,0.137,51.945,3.64,0.72
LA49,Lagos,6.56475,3.328083,1,80.4,15,4.6,7.69,1.445,0.119,4.374,7.1,0.1
LA50,Lagos,6.461711,3.689499,1,88.4,8,3.6,6.55,0.596,0.084,4.722,2.99,0.04
LA51,Lagos,6.537028,3.901639,1,90.8,5,4.2,5.75,0.939,0.088,6.164,2.78,0.08
LA52,Lagos,6.47671,3.950469,1,89.4,5,5.6,5.85,1.049,0.141,7.208,7.91,0.1
LA53,Lagos,6.576752,3.628666,1,70.4,16,13.6,6.4,1.088,0.138,8.947,3.01,0.26
LA54,Lagos,6.52416,3.883666,1,92.4,4,3.6,6.34,0.641,0.095,7.705,3.05,0.06
LA55,Lagos,6.39433,3.48345,1,56.4,20,23.6,5.48,0.816,0.105,2.734,3.1,0.16
LA56,Lagos,6.474059,3.840744,1,90.4,6,3.6,6.01,1.076,0.096,9.295,2.37,0.08
LA57,Lagos,6.636046,3.539596,1,76.4,18,5.6,6.96,1.393,0.172,13.123,5.09,0.18
LA58,Lagos,6.594065,3.995891,1,74.4,12,13.6,7.23,0.849,0.109,6.512,4.71,0.08
LA59,Lagos,6.623022,3.975391,1,56.4,20,23.6,6.18,1.458,0.166,33.255,4.82,0.14
LA60,Lagos,6.682034,3.712146,1,82.4,14,3.6,5.56,1.497,0.127,3.778,3.28,0.06
LA61,Lagos,6.662297,3.793772,1,66.4,10,23.6,5.51,1.101,0.089,11.234,3.03,0.12
LA62,Lagos,6.676666,3.865858,1,70.4,16,13.6,5.66,2.967,0.325,5.07,5.57,0.42
LA63,Lagos,6.679754,3.986498,1,65.8,20,14.2,5.25,2.649,0.284,8.401,3.38,0.12
LA64,Lagos,6.669777,4.064443,1,85.8,10,4.2,5.49,1.192,0.139,8.798,3.47,0.1
